ABB	NONE	no	yes
ABCAPITAL	NONE	no	yes
ACC	NONE	no	yes
ADANIPORTS	NONE	no	yes
AMBUJACEM	NONE	no	yes
ASHOKLEY	NONE	no	yes
ASIANPAINT	NONE	no	yes
AUROPHARMA	NONE	no	yes
AXISBANK	NONE	no	yes
BAJAJ-AUTO	NONE	no	yes
BAJAJFINSV	NONE	no	yes
BAJFINANCE	NONE	no	yes
BANKBARODA	NONE	no	yes
BEL	NONE	no	yes
BHARTIARTL	NONE	no	yes
BHEL	NONE	no	yes
BOSCHLTD	NONE	no	yes
BPCL	NONE	no	yes
BRITANNIA	NONE	no	yes
CADILAHC	NONE	no	yes
CIPLA	NONE	no	yes
COALINDIA	NONE	no	yes
COLPAL	NONE	no	yes
CONCOR	NONE	no	yes
CUMMINSIND	NONE	no	yes
DABUR	NONE	no	yes
DLF	NONE	no	yes
DMART	NONE	no	yes
DRREDDY	NONE	no	yes
EICHERMOT	NONE	no	yes
EMAMILTD	NONE	no	yes
GAIL	NONE	no	yes
GICRE	NONE	no	yes
GODREJCP	NONE	no	yes
GRASIM	NONE	no	yes
HAVELLS	NONE	no	yes
HCLTECH	NONE	no	yes
HDFC	NONE	no	yes
HDFCBANK	NONE	no	yes
HEROMOTOCO	NONE	no	yes
HINDALCO	NONE	no	yes
HINDPETRO	NONE	no	yes
HINDUNILVR	NONE	no	yes
HINDZINC	NONE	no	yes
IBULHSGFIN	NONE	no	yes
ICICIBANK	NONE	no	yes
ICICIPRULI	NONE	no	yes
IDEA	NONE	no	yes
INDIGO	NONE	no	yes
INDUSINDBK	NONE	no	yes
INFRATEL	NONE	no	yes
INFY	NONE	no	yes
IOC	NONE	no	yes
ITC	NONE	no	yes
JSWSTEEL	NONE	no	yes
KOTAKBANK	NONE	no	yes
L&TFH	NONE	no	yes
LICHSGFIN	NONE	no	yes
LT	NONE	no	yes
LUPIN	NONE	no	yes
M&M	NONE	no	yes
MARICO	NONE	no	yes
MARUTI	NONE	no	yes
MCDOWELL-N	NONE	no	yes
MOTHERSUMI	NONE	no	yes
MRF	NONE	no	yes
NHPC	NONE	no	yes
NMDC	NONE	no	yes
NTPC	NONE	no	yes
OFSS	NONE	no	yes
OIL	NONE	no	yes
ONGC	NONE	no	yes
PEL	NONE	no	yes
PETRONET	NONE	no	yes
PFC	NONE	no	yes
PGHH	NONE	no	yes
PIDILITIND	NONE	no	yes
PNB	NONE	no	yes
POWERGRID	NONE	no	yes
RECLTD	NONE	no	yes
RELIANCE	NONE	no	yes
SAIL	NONE	no	yes
SBILIFE	NONE	no	yes
SBIN	NONE	no	yes
SHREECEM	NONE	no	yes
SIEMENS	NONE	no	yes
SRTRANSFIN	NONE	no	yes
SUNPHARMA	NONE	no	yes
SUNTV	NONE	no	yes
TATAMOTORS	NONE	no	yes
TATASTEEL	NONE	no	yes
TCS	NONE	no	yes
TECHM	NONE	no	yes
TITAN	NONE	no	yes
ULTRACEMCO	NONE	no	yes
UPL	NONE	no	yes
VEDL	NONE	no	yes
WIPRO	NONE	no	yes
YESBANK	NONE	no	yes
ZEEL	NONE	no	yes
